Filename,Application,CPU_Num,Cacheline_Size_Bytes,Cachesize_kB,Network_Topology,Network_Flit_Size,Network_Hop_Latency,SimSeconds,Total_Insts,AvgIPC,LoadBalance,Contention_Intensity,Write_Contention_Count,Coh_Locked_RMW,CPU_Stall_Severity,NoC_Control_Lat,NoC_Data_Lat,Coh_FwdGetM (Write Contention),Coh_FwdGetS (Read Sharing),Coh_Invalidations,Coh_Writebacks (PutAck),DRAM_Read_BW,Max_Controller_BusyCycles,Max_MandatoryQueue_Stall,NoC_Avg_Hops,NoC_Flits_Injected
stats-Transpose_GeMM-4-256-16-mesh-16-1.txt,Transpose_GeMM,4,256,16,mesh,16,1,0.002817,12815428.0,1.15588075,1.01628498810349,0.00944174474703459,99,436,1040.63739,10007.115563,0,99,30,22,67731,6189146996.0,369007,1040.63739,1.50331,1377820.0
stats-Matrix_symm-1-64-16-all2all-16-1.txt,Matrix_symm,1,64,16,all2all,16,1,0.080193,4740561.0,0.059114,1.0,0.0,0,0,25299.130974,11345.965798,0,0,0,0,0,944031838.0,30399777,25299.130974,1.0,11825463.0
stats-FFT-1-64-16-all2all-16-1.txt,FFT,1,64,16,all2all,16,1,0.004551,4559112.0,1.001731,1.0,0.0,0,8,1055.510151,11885.895328,0,0,0,0,0,417940185.0,564481,1055.510151,1.0,269922.0
stats-Matrix_symm-4-64-4-mesh-16-1.txt,Matrix_symm,4,64,4,mesh,16,1,0.026862,4756051.0,0.051250000000000004,1.1404172641292252,2826.6955085216705,13443893,436,37027.489298,12156.628925,0,13443893,23,15,1060111,2526525831.0,11246036,37027.489298,1.471258,11235265.0
stats-bad_cache-4-64-256-mesh-16-1.txt,bad_cache,4,64,256,mesh,16,1,0.001968,1510213.0,0.19512875000000002,1.0074131150819645,13047.45886838479,19483929,456,94.362094,6071.679599,0,19483929,76617,220513,247,1463436641.0,228999,94.362094,1.598103,1748351.0
stats-FFT-4-64-64-mesh-16-1.txt,FFT,4,64,64,mesh,16,1,0.001148,4708454.0,1.18294525,1.1345003627967016,0.28905453892084326,53,736,273.837559,11340.353538,0,53,1432,1308,2200,405466053.0,69512,273.837559,1.677216,72965.0
stats-Transpose_GeMM-4-64-16-mesh-16-2.txt,Transpose_GeMM,4,64,16,mesh,16,2,0.003999,12816999.0,0.857329,1.066209653973247,0.00538347549219595,41,452,10426.920237,8834.96269,0,41,45,28,265866,4269707256.0,1781160,10426.920237,1.502276,2143438.0
stats-Transpose_GeMM-1-64-16-all2all-16-1.txt,Transpose_GeMM,1,64,16,all2all,16,1,0.012164,12799435.0,1.052255,1.0,0.0,0,0,6078.231303,5207.171307,0,0,0,0,0,1377415680.0,4236543,6078.231303,1.0,2102872.0
stats-Matrix_symm-4-64-256-mesh-16-1.txt,Matrix_symm,4,64,256,mesh,16,1,0.026562,4758312.0,0.05120025,1.1250793734723694,3146.965142260533,14974198,452,39549.742036,11706.927549,0,14974198,151,44,1003399,2435927108.0,12394097,39549.742036,1.572728,10950751.0
stats-FFT-4-64-16-all2all-16-1.txt,FFT,4,64,16,all2all,16,1,0.001524,4670518.0,0.92986,1.1862035366086827,0.10598396152204102,51,744,1357.838792,11463.596599,0,51,145,444,18122,1235968618.0,254379,1357.838792,1.0,265378.0
stats-Transpose_GeMM-1-64-16-mesh-16-1.txt,Transpose_GeMM,1,64,16,mesh,16,1,0.012164,12799435.0,1.052255,1.0,0.0,0,0,6078.231303,5207.171307,0,0,0,0,0,1377415680.0,4236543,6078.231303,1.0,2102872.0
stats-Transpose_GeMM-4-64-16-mesh-16-1.txt,Transpose_GeMM,4,64,16,mesh,16,1,0.003564,12817794.0,0.946053,1.0502493938913322,0.060696871864222506,748,460,7860.774811,6305.239012,0,748,40,30,265835,4790328735.0,1381329,7860.774811,1.502193,2143251.0
stats-FFT-8-64-16-mesh-16-1.txt,FFT,8,64,16,mesh,16,1,0.001321,5160692.0,0.709387625,1.4002619228087856,0.27263785554340386,149,1448,2167.729747,14404.647883,0,149,1601,1258,13119,991054427.0,273664,2167.729747,2.872745,193191.0
stats-Transpose_GeMM-2-64-16-mesh-16-1.txt,Transpose_GeMM,2,64,16,mesh,16,1,0.006813,12807496.0,0.9797834999999999,1.0406574366715196,0.0012492683971948929,10,172,8094.166764,6273.262764,0,10,11,6,265541,2498423939.0,2716867,8094.166764,1.502956,2136753.0
stats-bad_cache-4-64-4-mesh-16-1.txt,bad_cache,4,64,4,mesh,16,1,0.002382,1510117.0,0.16205975,1.0225278104822457,15299.91186113394,22973275,448,3553.485042,7976.081343,0,22973275,433521,131382,13657,1743894904.0,580357,3553.485042,1.583313,1821187.0
stats-Transpose_GeMM-4-64-256-mesh-16-1.txt,Transpose_GeMM,4,64,256,mesh,16,1,0.00124,12816629.0,2.6770614999999998,1.0116532220336039,0.016541010900760253,165,464,155.194839,9775.552988,0,165,1823,47,3826,553635718.0,55638,155.194839,1.52494,101966.0
stats-Transpose_GeMM-8-64-16-mesh-16-1.txt,Transpose_GeMM,8,64,16,mesh,16,1,0.002331,12833360.0,0.786877625,1.1385317162019393,0.014337632545179127,91,976,10934.083784,7893.001362,0,91,102,93,266404,7368452935.0,994876,10934.083784,2.256851,2155642.0
stats-bad_cache-4-64-16-mesh-16-1.txt,bad_cache,4,64,16,mesh,16,1,0.001992,1510213.0,0.19385125,1.0064320695999964,13120.401559250251,19700595,456,351.758794,6140.562524,0,19700595,66167,114006,1583,1458166999.0,224364,351.758794,1.608119,1754910.0
